Time (s),Light Intensity (%)
0,18
0.002,18.9
0.004,19.9
0.006,20.9
0.008,21.9
0.01,22.7
0.012,23.5
0.014,24.4
0.016,25.2
0.018,26.1
0.02,26.9
0.022,27.6
0.024,28.4
0.026,29.2
0.028,29.9
0.03,30.5
0.032,31.3
0.034,31.8
0.036,32.5
0.038,33.1
0.04,33.7
0.042,34.2
0.044,34.8
0.046,35.3
0.048,35.7
0.05,36.1
0.052,36.6
0.054,37
0.056,37.5
0.058,37.9
0.06,38.2
0.062,38.5
0.064,38.8
0.066,39.1
0.068,39.3
0.07,39.5
0.072,39.7
0.074,39.9
0.076,40
0.078,40.1
0.08,40.2
0.082,40.3
0.084,40.3
0.086,40.4
0.088,40.4
0.09,40.3
0.092,40.3
0.094,40.2
0.096,40.1
0.098,39.9
0.1,39.8
0.102,39.6
0.104,39.5
0.106,39.4
0.108,39.1
0.11,38.8
0.112,38.5
0.114,38.1
0.116,37.8
0.118,37.4
0.12,37
0.122,36.7
0.124,36.2
0.126,35.7
0.128,35.3
0.13,34.7
0.132,34.2
0.134,33.6
0.136,33.1
0.138,32.5
0.14,31.8
0.142,31.3
0.144,30.6
0.146,29.9
0.148,29.1
0.15,28.4
0.152,27.6
0.154,27
0.156,26.2
0.158,25.3
0.16,24.5
0.162,23.6
0.164,22.8
0.166,21.9
0.168,20.9
0.17,20
0.172,19.1
0.174,18.2
0.176,17.2
0.178,16.2
0.18,15.1
0.182,14.2
0.184,13.2
0.186,12.3
0.188,11.3
0.19,10.4
0.192,9.5
0.194,8.5
0.196,7.5
0.198,6.7
0.2,5.9
0.202,5.2
0.204,4.5
0.206,3.8
0.208,3.2
0.21,2.7
0.212,2.1
0.214,1.9
0.216,1.5
0.218,1.3
0.22,1.1
0.222,0.9
0.224,0.8
0.226,0.7
0.228,0.6
0.23,0.6
0.232,0.5
0.234,0.5
0.236,0.5
0.238,0.5
0.24,0.5
0.242,0.5
0.244,0.5
0.246,0.4
0.248,0.4
0.25,0.4
0.252,0.4
0.254,0.4
0.256,0.4
0.258,0.5
0.26,0.4
0.262,0.4
0.264,0.4
0.266,0.4
0.268,0.4
0.27,0.5
0.272,0.5
0.274,0.5
0.276,0.5
0.278,0.5
0.28,0.5
0.282,0.5
0.284,0.5
0.286,0.5
0.288,0.5
0.29,0.6
0.292,0.6
0.294,0.5
0.296,0.5
0.298,0.5
0.3,0.5
0.302,0.6
0.304,0.6
0.306,0.6
0.308,0.6
0.31,0.6
0.312,0.6
0.314,0.6
0.316,0.6
0.318,0.6
0.32,0.7
0.322,0.8
0.324,0.8
0.326,0.7
0.328,0.7
0.33,0.7
0.332,0.8
0.334,0.8
0.336,0.8
0.338,0.8
0.34,0.8
0.342,0.9
0.344,0.8
0.346,0.8
0.348,0.8
0.35,0.8
0.352,0.9
0.354,0.9
0.356,0.9
0.358,0.9
0.36,0.9
0.362,0.9
0.364,0.9
0.366,0.9
0.368,0.9
0.37,1
0.372,1
0.374,1
0.376,1
0.378,1
0.38,1
0.382,1
0.384,1
0.386,1.1
0.388,1.1
0.39,1.1
0.392,1.1
0.394,1.1
0.396,1.1
0.398,1.2
0.4,1.2
0.402,1.3
0.404,1.3
0.406,1.4
0.408,1.5
0.41,1.5
0.412,1.6
0.414,1.8
0.416,1.9
0.418,2.1
0.42,2.3
0.422,2.6
0.424,3
0.426,3.4
0.428,3.8
0.43,4.3
0.432,4.8
0.434,5.4
0.436,6.1
0.438,6.7
0.44,7.4
0.442,8.1
0.444,8.8
0.446,9.6
0.448,10.3
0.45,11
0.452,11.8
0.454,12.6
0.456,13.4
0.458,14.2
0.46,14.8
0.462,15.5
0.464,16.2
0.466,16.9
0.468,17.6
0.47,18.3
0.472,18.9
0.474,19.5
0.476,20.1
0.478,20.7
0.48,21.2
0.482,21.7
0.484,22.3
0.486,22.8
0.488,23.2
0.49,23.6
0.492,24
0.494,24.4
0.496,24.7
0.498,25.1
0.5,25.4
0.502,25.6
0.504,25.9
0.506,26.2
0.508,26.4
0.51,26.6
0.512,26.7
0.514,26.8
0.516,26.9
0.518,27
0.52,27
0.522,27
0.524,27
0.526,27
0.528,26.9
0.53,26.8
0.532,26.7
0.534,26.6
0.536,26.4
0.538,26.2
0.54,26
0.542,25.8
0.544,25.4
0.546,25.1
0.548,24.8
0.55,24.4
0.552,24.1
0.554,23.7
0.556,23.3
0.558,22.9
0.56,22.5
0.562,22
0.564,21.4
0.566,20.9
0.568,20.3
0.57,19.8
0.572,19.1
0.574,18.6
0.576,18
0.578,17.2
0.58,16.5
0.582,15.8
0.584,15.1
0.586,14.5
0.588,13.7
0.59,13
0.592,12.2
0.594,11.4
0.596,10.6
0.598,9.9
0.6,9.1
0.602,8.4
0.604,7.7
0.606,7
0.608,6.3
0.61,5.7
0.612,5.1
0.614,4.5
0.616,4
0.618,3.5
0.62,3.1
0.622,2.7
0.624,2.4
0.626,2.2
0.628,2
0.63,1.8
0.632,1.7
0.634,1.6
0.636,1.5
0.638,1.4
0.64,1.4
0.642,1.3
0.644,1.2
0.646,1.2
0.648,1.2
0.65,1.1
0.652,1.1
0.654,1.1
0.656,1.1
0.658,1.1
0.66,1.1
0.662,1
0.664,1
0.666,1
0.668,1
0.67,1
0.672,1
0.674,1
0.676,1
0.678,0.9
0.68,1
0.682,0.9
0.684,0.9
0.686,0.9
0.688,0.9
0.69,1
0.692,0.9
0.694,0.9
0.696,0.9
0.698,0.8
0.7,0.9
0.702,0.8
0.704,0.9
0.706,0.9
0.708,0.8
0.71,0.8
0.712,0.8
0.714,0.7
0.716,0.7
0.718,0.8
0.72,0.7
0.722,0.8
0.724,0.8
0.726,0.7
0.728,0.7
0.73,0.6
0.732,0.6
0.734,0.6
0.736,0.6
0.738,0.6
0.74,0.6
0.742,0.6
0.744,0.6
0.746,0.5
0.748,0.5
0.75,0.5
0.752,0.5
0.754,0.6
0.756,0.5
0.758,0.5
0.76,0.5
0.762,0.5
0.764,0.5
0.766,0.5
0.768,0.5
0.77,0.5
0.772,0.5
0.774,0.5
0.776,0.5
0.778,0.4
0.78,0.4
0.782,0.4
0.784,0.4
0.786,0.4
0.788,0.4
0.79,0.5
0.792,0.5
0.794,0.4
0.796,0.4
0.798,0.4
0.8,0.4
0.802,0.5
0.804,0.5
0.806,0.5
0.808,0.5
0.81,0.5
0.812,0.5
0.814,0.5
0.816,0.6
0.818,0.6
0.82,0.7
0.822,0.8
0.824,1
0.826,1.1
0.828,1.3
0.83,1.6
0.832,1.9
0.834,2.3
0.836,2.8
0.838,3.3
0.84,3.9
0.842,4.6
0.844,5.3
0.846,6.1
0.848,6.8
0.85,7.7
0.852,8.6
0.854,9.6
0.856,10.4
0.858,11.4
0.86,12.4
0.862,13.4
0.864,14.4
0.866,15.3
0.868,16.3
0.87,17.3
0.872,18.3
0.874,19.2
0.876,20.1
0.878,21
0.88,21.9
0.882,22.8
0.884,23.6
0.886,24.5
0.888,25.4
0.89,26.2
0.892,27
0.894,27.6
0.896,28.4
0.898,29.1
0.9,29.8
0.902,30.5
0.904,31.2
0.906,31.8
0.908,32.4
0.91,32.9
0.912,33.5
0.914,34
0.916,34.6
0.918,35.1
0.92,35.5
0.922,36
0.924,36.4
0.926,36.9
0.928,37.2
0.93,37.6
0.932,37.9
0.934,38.2
0.936,38.6
0.938,38.8
0.94,39.1
0.942,39.3
0.944,39.5
0.946,39.6
0.948,39.6
0.95,39.8
0.952,39.9
0.954,40
0.956,40
0.958,40
0.96,40
0.962,39.9
0.964,39.8
0.966,39.7
0.968,39.6
0.97,39.6
0.972,39.5
0.974,39.3
0.976,39.1
0.978,38.8
0.98,38.5
0.982,38.2
0.984,37.9
0.986,37.6
0.988,37.3
0.99,36.9
0.992,36.5
0.994,36
0.996,35.5
0.998,35.1
1,34.6
1.002,34.1
1.004,33.6
1.006,33
1.008,32.4
1.01,31.8
1.012,31.2
1.014,30.5
1.016,29.9
1.018,29.1
1.02,28.4
1.022,27.7
1.024,27
1.026,26.2
1.028,25.4
1.03,24.5
1.032,23.6
1.034,22.9
1.036,22
1.038,21.1
1.04,20.2
1.042,19.2
1.044,18.3
1.046,17.3
1.048,16.4
1.05,15.4
1.052,14.5
1.054,13.5
1.056,12.6
1.058,11.5
1.06,10.5
1.062,9.7
1.064,8.7
1.066,7.8
1.068,6.9
1.07,6.2
1.072,5.4
1.074,4.7
1.076,4
1.078,3.3
1.08,2.8
1.082,2.3
1.084,2
1.086,1.7
1.088,1.4
1.09,1.2
1.092,1
1.094,0.8
1.096,0.7
1.098,0.6
1.1,0.6
1.102,0.6
1.104,0.6
1.106,0.5
1.108,0.5
1.11,0.5
1.112,0.5
1.114,0.4
1.116,0.4
1.118,0.4
1.12,0.4
1.122,0.5
1.124,0.5
1.126,0.4
1.128,0.4
1.13,0.4
1.132,0.4
1.134,0.4
1.136,0.4
1.138,0.5
1.14,0.5
1.142,0.5
1.144,0.5
1.146,0.4
1.148,0.5
1.15,0.5
1.152,0.5
1.154,0.5
1.156,0.5
1.158,0.5
1.16,0.5
1.162,0.5
1.164,0.5
1.166,0.5
1.168,0.5
1.17,0.6
1.172,0.6
1.174,0.6
1.176,0.6
1.178,0.6
1.18,0.6
1.182,0.6
1.184,0.6
1.186,0.7
1.188,0.7
1.19,0.7
1.192,0.7
1.194,0.7
1.196,0.7
1.198,0.7
1.2,0.8
1.202,0.8
1.204,0.8
1.206,0.8
1.208,0.8
1.21,0.8
1.212,0.8
1.214,0.8
1.216,0.8
1.218,0.8
1.22,0.9
1.222,0.9
1.224,0.9
1.226,0.9
1.228,0.9
1.23,0.9
1.232,0.9
1.234,0.9
1.236,0.9
1.238,1
1.24,1
1.242,1
1.244,1
1.246,1
1.248,1
1.25,1
1.252,1
1.254,1
1.256,1.1
1.258,1.1
1.26,1.1
1.262,1.1
1.264,1.1
1.266,1.1
1.268,1.2
1.27,1.2
1.272,1.3
1.274,1.3
1.276,1.3
1.278,1.4
1.28,1.5
1.282,1.5
1.284,1.7
1.286,1.8
1.288,2
1.29,2.2
1.292,2.4
1.294,2.7
1.296,3
1.298,3.4
1.3,3.9
1.302,4.4
1.304,5
1.306,5.6
1.308,6.2
1.31,6.9
1.312,7.6
1.314,8.2
1.316,9
1.318,9.8
1.32,10.5
1.322,11.3
1.324,12.1
1.326,12.8
1.328,13.5
1.33,14.3
1.332,14.9
1.334,15.6
1.336,16.4
1.338,17.1
1.34,17.7
1.342,18.4
1.344,19
1.346,19.5
1.348,20.1
1.35,20.7
1.352,21.2
1.354,21.8
1.356,22.3
1.358,22.8
1.36,23
1.362,23.5
1.364,23.8
1.366,24.2
1.368,24.5
1.37,24.9
1.372,25.2
1.374,25.5
1.376,25.7
1.378,25.9
1.38,26.1
1.382,26.3
1.384,26.4
1.386,26.6
1.388,26.7
1.39,26.8
1.392,26.8
1.394,26.8
1.396,26.7
1.398,26.7
1.4,26.6
1.402,26.5
1.404,26.4
1.406,26.3
1.408,26.1
1.41,25.9
1.412,25.6
1.414,25.4
1.416,25.1
1.418,24.8
1.42,24.5
1.422,24.1
1.424,23.8
1.426,23.3
1.428,22.9
1.43,22.5
1.432,22
1.434,21.5
1.436,21
1.438,20.5
1.44,19.9
1.442,19.3
1.444,18.8
1.446,18.1
1.448,17.4
1.45,16.7
1.452,16
1.454,15.3
1.456,14.6
1.458,13.9
1.46,13.1
1.462,12.4
1.464,11.6
1.466,10.8
1.468,10.2
1.47,9.4
1.472,8.7
1.474,8
1.476,7.2
1.478,6.5
1.48,5.9
1.482,5.3
1.484,4.7
1.486,4.2
1.488,3.8
1.49,3.3
1.492,2.9
1.494,2.6
1.496,2.2
1.498,2.1
1.5,1.9
1.502,1.8
1.504,1.7
1.506,1.6
1.508,1.5
1.51,1.4
1.512,1.3
1.514,1.2
1.516,1.2
1.518,1.2
1.52,1.2
1.522,1.2
1.524,1.2
1.526,1.1
1.528,1.1
1.53,1
1.532,1
1.534,1
1.536,1
1.538,1
1.54,1
1.542,1
1.544,1
1.546,1
1.548,0.9
1.55,0.9
1.552,0.9
1.554,1
1.556,1
1.558,1
1.56,0.9
1.562,0.9
1.564,0.9
1.566,0.9
1.568,0.8
1.57,0.9
1.572,0.9
1.574,0.9
1.576,0.9
1.578,0.8
1.58,0.8
1.582,0.8
1.584,0.8
1.586,0.8
1.588,0.8
1.59,0.8
1.592,0.8
1.594,0.7
1.596,0.7
1.598,0.7
1.6,0.6
1.602,0.7
1.604,0.7
1.606,0.7
1.608,0.7
1.61,0.6
1.612,0.6
1.614,0.6
1.616,0.6
1.618,0.6
1.62,0.6
1.622,0.6
1.624,0.6
1.626,0.5
1.628,0.5
1.63,0.5
1.632,0.5
1.634,0.5
1.636,0.5
1.638,0.5
1.64,0.5
1.642,0.5
1.644,0.5
1.646,0.4
1.648,0.4
1.65,0.4
1.652,0.5
1.654,0.5
1.656,0.5
1.658,0.5
1.66,0.4
1.662,0.4
1.664,0.4
1.666,0.4
1.668,0.5
1.67,0.5
1.672,0.5
1.674,0.5
1.676,0.5
1.678,0.5
1.68,0.5
1.682,0.5
1.684,0.5
1.686,0.6
1.688,0.6
1.69,0.7
1.692,0.8
1.694,0.9
1.696,1
1.698,1.2
1.7,1.4
1.702,1.7
1.704,2.1
1.706,2.4
1.708,2.9
1.71,3.5
1.712,4.1
1.714,4.7
1.716,5.4
1.718,6.2
1.72,7
1.722,7.9
1.724,8.8
1.726,9.7
1.728,10.6
1.73,11.5
1.732,12.5
1.734,13.5
1.736,14.5
1.738,15.4
1.74,16.4
1.742,17.4
1.744,18.3
1.746,19.2
1.748,20.1
1.75,21
1.752,22
1.754,22.9
1.756,23.7
1.758,24.5
1.76,25.3
1.762,26.1
1.764,26.9
1.766,27.5
1.768,28.3
1.77,29
1.772,29.8
1.774,30.4
1.776,31.1
1.778,31.6
1.78,32.2
1.782,32.8
1.784,33.4
1.786,33.9
1.788,34.5
1.79,35
1.792,35.4
1.794,35.8
1.796,36.1
1.798,36.6
1.8,36.9
1.802,37.3
1.804,37.7
1.806,38
1.808,38.3
1.81,38.5
1.812,38.7
1.814,38.9
1.816,39.1
1.818,39.2
1.82,39.3
1.822,39.5
1.824,39.6
1.826,39.6
1.828,39.6
1.83,39.6
1.832,39.6
1.834,39.5
1.836,39.5
1.838,39.4
1.84,39.3
1.842,39.1
1.844,38.9
1.846,38.7
1.848,38.4
1.85,38.2
1.852,38
1.854,37.7
1.856,37.4
1.858,37
1.86,36.6
1.862,36.2
1.864,35.8
1.866,35.4
1.868,35
1.87,34.5
1.872,34
1.874,33.5
1.876,32.9
1.878,32.2
1.88,31.6
1.882,31.1
1.884,30.5
1.886,29.8
1.888,29.1
1.89,28.4
1.892,27.7
1.894,27
1.896,26.1
1.898,25.3
1.9,24.6
1.902,23.7
1.904,22.9
1.906,22.1
1.908,21.2
1.91,20.3
1.912,19.3
1.914,18.4
1.916,17.5
1.918,16.5
1.92,15.6
1.922,14.6
1.924,13.7
1.926,12.7
1.928,11.7
1.93,10.7
1.932,9.9
1.934,8.9
1.936,8
1.938,7.2
1.94,6.3
1.942,5.6
1.944,4.9
1.946,4.1
1.948,3.5
1.95,2.9
1.952,2.5
1.954,2.1
1.956,1.8
1.958,1.5
1.96,1.2
1.962,1
1.964,0.8
1.966,0.7
1.968,0.7
1.97,0.6
1.972,0.6
1.974,0.6
1.976,0.5
1.978,0.5
1.98,0.5
1.982,0.4
1.984,0.4
1.986,0.5
1.988,0.5
1.99,0.5
1.992,0.4
1.994,0.4
1.996,0.4
1.998,0.4
2,0.4
2.002,0.4
2.004,0.5
2.006,0.5
2.008,0.5
2.01,0.5
2.012,0.4
2.014,0.4
2.016,0.4
2.018,0.4
2.02,0.5
2.022,0.5
2.024,0.5
2.026,0.5
2.028,0.5
2.03,0.5
2.032,0.5
2.034,0.5
2.036,0.5
2.038,0.6
2.04,0.6
2.042,0.6
2.044,0.6
2.046,0.6
2.048,0.6
2.05,0.6
2.052,0.6
2.054,0.7
2.056,0.7
2.058,0.7
2.06,0.7
2.062,0.7
2.064,0.7
2.066,0.7
2.068,0.7
2.07,0.8
2.072,0.8
2.074,0.8
2.076,0.8
2.078,0.8
2.08,0.8
2.082,0.8
2.084,0.8
2.086,0.9
2.088,0.9
2.09,0.9
2.092,0.9
2.094,0.9
2.096,0.9
2.098,0.9
2.1,0.9
2.102,0.9
2.104,0.9
2.106,1
2.108,1
2.11,1
2.112,1
2.114,1
2.116,0.9
2.118,1
2.12,1
2.122,1
2.124,1
2.126,1
2.128,1
2.13,1
2.132,1
2.134,1.1
2.136,1.2
2.138,1.2
2.14,1.2
2.142,1.3
2.144,1.3
2.146,1.3
2.148,1.3
2.15,1.4
2.152,1.5
2.154,1.6
2.156,1.8
2.158,1.9
2.16,2.1
2.162,2.2
2.164,2.5
2.166,2.8
2.168,3.2
2.17,3.6
2.172,4.1
2.174,4.7
2.176,5.2
2.178,5.8
2.18,6.3
2.182,7
2.184,7.8
2.186,8.5
2.188,9.3
2.19,10
2.192,10.7
2.194,11.5
2.196,12.2
2.198,13
2.2,13.7
2.202,14.5
2.204,15.1
2.206,15.9
2.208,16.6
2.21,17.2
2.212,17.8
2.214,18.5
2.216,19
2.218,19.6
2.22,20.2
2.222,20.8
2.224,21.3
2.226,21.8
2.228,22.3
2.23,22.7
2.232,23
2.234,23.5
2.236,23.9
2.238,24.2
2.24,24.6
2.242,24.9
2.244,25.1
2.246,25.4
2.248,25.6
2.25,25.8
2.252,26
2.254,26.2
2.256,26.3
2.258,26.4
2.26,26.4
2.262,26.5
2.264,26.5
2.266,26.5
2.268,26.5
2.27,26.4
2.272,26.3
2.274,26.3
2.276,26.1
2.278,25.9
2.28,25.7
2.282,25.5
2.284,25.3
2.286,25
2.288,24.8
2.29,24.5
2.292,24.1
2.294,23.7
2.296,23.3
2.298,22.9
2.3,22.5
2.302,22.1
2.304,21.6
2.306,21.1
2.308,20.5
2.31,20
2.312,19.3
2.314,18.8
2.316,18.2
2.318,17.6
2.32,16.9
2.322,16.2
2.324,15.5
2.326,14.8
2.328,14.1
2.33,13.3
2.332,12.6
2.334,11.9
2.336,11.1
2.338,10.4
2.34,9.7
2.342,8.9
2.344,8.2
2.346,7.4
2.348,6.7
2.35,6.1
2.352,5.5
2.354,5
2.356,4.4
2.358,3.9
2.36,3.4
2.362,3
2.364,2.6
2.366,2.3
2.368,2.1
2.37,2
2.372,1.8
2.374,1.7
2.376,1.6
2.378,1.5
2.38,1.4
2.382,1.3
2.384,1.3
2.386,1.3
2.388,1.2
2.39,1.2
2.392,1.2
2.394,1.1
2.396,1.1
2.398,1
2.4,1
2.402,1
2.404,1.1
2.406,1.1
2.408,1
2.41,1
2.412,1
2.414,0.9
2.416,0.9
2.418,1
2.42,1
2.422,1
2.424,1
2.426,0.9
2.428,0.9
2.43,0.9
2.432,0.9
2.434,0.9
2.436,0.9
2.438,0.9
2.44,0.9
2.442,0.9
2.444,0.9
2.446,0.8
2.448,0.8
2.45,0.8
2.452,0.8
2.454,0.8
2.456,0.8
2.458,0.8
2.46,0.8
2.462,0.7
2.464,0.7
2.466,0.7
2.468,0.7
2.47,0.7
2.472,0.7
2.474,0.7
2.476,0.7
2.478,0.6
2.48,0.6
2.482,0.6
2.484,0.6
2.486,0.6
2.488,0.6
2.49,0.6
2.492,0.6
2.494,0.5
2.496,0.5
2.498,0.5
2.5,0.5
2.502,0.5
2.504,0.5
2.506,0.5
2.508,0.5
2.51,0.5
2.512,0.5
2.514,0.4
2.516,0.4
2.518,0.5
2.52,0.5
2.522,0.5
2.524,0.5
2.526,0.4
2.528,0.4
2.53,0.4
2.532,0.4
2.534,0.4
2.536,0.4
2.538,0.5
2.54,0.5
2.542,0.5
2.544,0.5
2.546,0.4
2.548,0.5
2.55,0.5
2.552,0.5
2.554,0.6
2.556,0.6
2.558,0.6
2.56,0.6
2.562,0.7
2.564,0.7
2.566,0.9
2.568,1
2.57,1.3
2.572,1.6
2.574,1.8
2.576,2.1
2.578,2.5
2.58,3
2.582,3.6
2.584,4.2
2.586,5
2.588,5.7
2.59,6.4
2.592,7.3
2.594,8.1
2.596,9
2.598,9.9
2.6,10.8
2.602,11.8
2.604,12.8
2.606,13.8
2.608,14.6
2.61,15.6
2.612,16.6
2.614,17.5
2.616,18.4
2.618,19.3
2.62,20.3
2.622,21.2
2.624,22.1
2.626,22.9
2.628,23.7
2.63,24.5
2.632,25.4
2.634,26.2
2.636,26.9
2.638,27.6
2.64,28.3
2.642,29
2.644,29.7
2.646,30.3
2.648,31
2.65,31.5
2.652,32.1
2.654,32.7
2.656,33.3
2.658,33.8
2.66,34.3
2.662,34.8
2.664,35.2
2.666,35.5
2.668,36
2.67,36.4
2.672,36.7
2.674,37.1
2.676,37.4
2.678,37.6
2.68,37.9
2.682,38.1
2.684,38.4
2.686,38.6
2.688,38.8
2.69,38.9
2.692,39
2.694,39.1
2.696,39.1
2.698,39.1
2.7,39.1
2.702,39.2
2.704,39.2
2.706,39.1
2.708,39
2.71,38.9
2.712,38.7
2.714,38.5
2.716,38.4
2.718,38.1
2.72,38
2.722,37.7
2.724,37.4
2.726,37.1
2.728,36.7
2.73,36.4
2.732,36
2.734,35.6
2.736,35.3
2.738,34.8
2.74,34.4
2.742,33.8
2.744,33.3
2.746,32.7
2.748,32.2
2.75,31.6
2.752,31.1
2.754,30.4
2.756,29.8
2.758,29.1
2.76,28.4
2.762,27.7
2.764,27
2.766,26.2
2.768,25.4
2.77,24.7
2.772,23.8
2.774,23
2.776,22.2
2.778,21.3
2.78,20.4
2.782,19.4
2.784,18.6
2.786,17.7
2.788,16.8
2.79,15.8
2.792,14.8
2.794,13.9
2.796,12.9
2.798,11.9
2.8,11
2.802,10.1
2.804,9.2
2.806,8.3
2.808,7.4
2.81,6.5
2.812,5.8
2.814,5
2.816,4.3
2.818,3.7
2.82,3.1
2.822,2.7
2.824,2.2
2.826,1.9
2.828,1.6
2.83,1.3
2.832,1
2.834,0.9
2.836,0.8
2.838,0.7
2.84,0.7
2.842,0.6
2.844,0.5
2.846,0.5
2.848,0.5
2.85,0.5
2.852,0.5
2.854,0.5
2.856,0.5
2.858,0.5
2.86,0.5
2.862,0.4
2.864,0.4
2.866,0.4
2.868,0.4
2.87,0.4
2.872,0.5
2.874,0.5
2.876,0.4
2.878,0.4
2.88,0.4
2.882,0.4
2.884,0.4
2.886,0.5
2.888,0.5
2.89,0.5
2.892,0.5
2.894,0.5
2.896,0.5
2.898,0.5
2.9,0.5
2.902,0.5
2.904,0.6
2.906,0.5
2.908,0.6
2.91,0.6
2.912,0.6
2.914,0.6
2.916,0.6
2.918,0.6
2.92,0.6
2.922,0.6
2.924,0.7
2.926,0.6
2.928,0.6
2.93,0.7
2.932,0.6
2.934,0.7
2.936,0.7
2.938,0.8
2.94,0.8
2.942,0.8
2.944,0.8
2.946,0.8
2.948,0.7
2.95,0.8
2.952,0.8
2.954,0.8
2.956,0.9
2.958,0.9
2.96,0.9
2.962,0.9
2.964,0.8
2.966,0.9
2.968,0.9
2.97,0.9
2.972,0.9
2.974,0.9
2.976,1
2.978,0.9
2.98,0.9
2.982,0.9
2.984,1
2.986,1
2.988,1
2.99,1
2.992,1
2.994,1
2.996,1
2.998,1
3,1
3.002,1.1
3.004,1.1
3.006,1.1
3.008,1.2
3.01,1.2
3.012,1.2
3.014,1.2
3.016,1.2
3.018,1.3
3.02,1.4
3.022,1.5
3.024,1.6
3.026,1.7
3.028,1.8
3.03,2
3.032,2.1
3.034,2.3
3.036,2.6
3.038,2.9
3.04,3.4
3.042,3.8
3.044,4.3
3.046,4.8
3.048,5.3
3.05,6
3.052,6.6
3.054,7.3
3.056,8
3.058,8.7
3.06,9.4
3.062,10.2
3.064,10.8
3.066,11.6
3.068,12.3
3.07,13.1
3.072,13.9
3.074,14.6
3.076,15.2
3.078,16
3.08,16.6
3.082,17.3
3.084,18
3.086,18.6
3.088,19.1
3.09,19.7
3.092,20.2
3.094,20.7
3.096,21.2
3.098,21.7
3.1,22.2
3.102,22.7
3.104,23
3.106,23.4
3.108,23.8
3.11,24
3.112,24.3
3.114,24.6
3.116,24.9
3.118,25.1
3.12,25.4
3.122,25.6
3.124,25.8
3.126,25.9
3.128,26
3.13,26
3.132,26.1
3.134,26.2
3.136,26.2
3.138,26.1
3.14,26.1
3.142,26
3.144,25.9
3.146,25.8
3.148,25.6
3.15,25.4
3.152,25.2
3.154,25
3.156,24.8
3.158,24.5
3.16,24.2
3.162,23.8
3.164,23.5
3.166,23.1
3.168,22.8
3.17,22.4
3.172,22
3.174,21.5
3.176,21
3.178,20.4
3.18,19.9
3.182,19.3
3.184,18.8
3.186,18.2
3.188,17.6
3.19,16.9
3.192,16.2
3.194,15.5
3.196,14.7
3.198,14.1
3.2,13.4
3.202,12.6
3.204,11.9
3.206,11.2
3.208,10.4
3.21,9.7
3.212,9
3.214,8.2
3.216,7.5
3.218,6.8
3.22,6.2
3.222,5.7
3.224,5.1
3.226,4.5
3.228,3.9
3.23,3.5
3.232,3.1
3.234,2.7
3.236,2.5
3.238,2.2
3.24,2.1
3.242,1.9
3.244,1.7
3.246,1.6
3.248,1.5
3.25,1.4
3.252,1.3
3.254,1.3
3.256,1.3
3.258,1.3
3.26,1.2
3.262,1.1
3.264,1.1
3.266,1.1
3.268,1.1
3.27,1.1
3.272,1.1
3.274,1.1
3.276,1
3.278,1
3.28,1
3.282,0.9
3.284,1
3.286,1
3.288,1
3.29,1
3.292,1
3.294,0.9
3.296,0.9
3.298,0.9
3.3,0.9
3.302,0.9
3.304,0.9
3.306,0.9
3.308,0.9
3.31,0.9
3.312,0.9
3.314,0.8
3.316,0.8
3.318,0.8
3.32,0.8
3.322,0.8
3.324,0.8
3.326,0.8
3.328,0.8
3.33,0.7
3.332,0.8
3.334,0.7
3.336,0.7
3.338,0.8
3.34,0.7
3.342,0.7
3.344,0.7
3.346,0.6
3.348,0.6
3.35,0.6
3.352,0.6
3.354,0.6
3.356,0.6
3.358,0.6
3.36,0.6
3.362,0.5
3.364,0.5
3.366,0.5
3.368,0.5
3.37,0.6
3.372,0.5
3.374,0.5
3.376,0.5
3.378,0.5
3.38,0.5
3.382,0.5
3.384,0.4
3.386,0.5
3.388,0.5
3.39,0.5
3.392,0.5
3.394,0.4
3.396,0.4
3.398,0.4
3.4,0.4
3.402,0.4
3.404,0.4
3.406,0.5
3.408,0.5
3.41,0.4
3.412,0.4
3.414,0.4
3.416,0.4
3.418,0.5
3.42,0.5
3.422,0.6
3.424,0.6
3.426,0.5
3.428,0.6
3.43,0.6
3.432,0.6
3.434,0.7
3.436,0.8
3.438,1
3.44,1.1
3.442,1.4
3.444,1.6
3.446,1.9
3.448,2.2
3.45,2.7
3.452,3.3
3.454,3.9
3.456,4.5
3.458,5.2
3.46,5.9
3.462,6.6
3.464,7.5
3.466,8.4
3.468,9.3
3.47,10.3
3.472,11.1
3.474,12.1
3.476,13
3.478,14
3.48,14.8
3.482,15.8
3.484,16.8
3.486,17.7
3.488,18.7
3.49,19.6
3.492,20.4
3.494,21.3
3.496,22.2
3.498,23
3.5,23.8
3.502,24.7
3.504,25.5
3.506,26.3
3.508,27
3.51,27.6
3.512,28.3
3.514,29
3.516,29.7
3.518,30.4
3.52,31
3.522,31.6
3.524,32.2
3.526,32.7
3.528,33.2
3.53,33.7
3.532,34.2
3.534,34.7
3.536,35.2
3.538,35.5
3.54,35.9
3.542,36.3
3.544,36.5
3.546,36.9
3.548,37.2
3.55,37.5
3.552,37.7
3.554,37.9
3.556,38.2
3.558,38.3
3.56,38.5
3.562,38.6
3.564,38.6
3.566,38.7
3.568,38.8
3.57,38.9
3.572,38.9
3.574,38.8
3.576,38.8
3.578,38.7
3.58,38.6
3.582,38.5
3.584,38.3
3.586,38.2
3.588,38
3.59,37.8
